city_abbr,fa19,sp21,fa21,fa22,sp23,fa23,sp24,fa24
atl,0.0639800287,0.3582821393,0.2915052432,0.2720956304,0.3055111566,0.2686753594,0.2539976553,0.2128879871
bos,0.04876736584,0.3573766731,0.2390772721,0.2382444249,0.2665108905,0.2388359407,0.2301393139,0.1849439171
chi,0.03950647456,0.3592622806,0.2701067348,0.2603779237,0.2871565528,0.230475773,0.2200793823,0.1762165784
clv,0.04842555797,0.314365811,0.2453875469,0.2159774895,0.2442486419,0.1715000594,0.1687615623,0.142901589
dal,0.05321509157,0.3406671427,0.2782049687,0.2652770651,0.2983005131,0.2380267618,0.2263891409,0.1963705384
dtr,0.03763563707,0.363034107,0.26851739,0.2466324565,0.2756977542,0.2055502832,0.2025519286,0.1690572153
hou,0.0415817907,0.3255512897,0.2664263169,0.248368814,0.2808317017,0.2040101166,0.1951615326,0.1577290319
la,0.05531297806,0.5023329201,0.2937582732,0.2842562919,0.3135743116,0.2223092257,0.2094597873,0.1653562335
ny,0.04294685032,0.3396295489,0.2385771405,0.2390958228,0.2749016516,0.2166714071,0.1657021092,0.2049178592
orl,0.05478512895,0.3384496316,0.2791683108,0.2591395048,0.2863061532,0.2371231476,0.2246903661,0.1961839876
phi,0.04650338883,0.3451282293,0.2441849095,0.2448552676,0.2778246545,0.2264502208,0.2146348503,0.1821412983
pnx,0.07117108515,0.3997531631,0.3285339703,0.3277600598,0.3555209449,0.2998237678,0.2848871847,0.23960766
sac,0.07185831919,0.5289443841,0.3116024972,0.2941620989,0.3217701605,0.2473695106,0.2336999557,0.1930432644
sf,0.05749890872,0.5302749351,0.2953303375,0.3003751185,0.2649409283,0.2649409283,0.2507254263,0.2132798213
stl,0.04439003243,0.3072295117,0.2710797267,0.250773662,0.2778977005,0.2030157723,0.1977878687,0.1739055692
