city,sp21,fa21,fa22,sp23,fa23,full_name,sp24,fa24
atl,-0.3488833495,-0.3009696205,-0.332262236,-0.191469511,-0.2441568039,Atlanta--Athens-ClarkeCounty--SandySprings_GA-AL,-0.2236436015,-0.2438165899
bos,-0.7594992042,-0.5460853593,-0.4876707563,-0.3755457423,-0.5130789323,Boston-Worcester-Providence_MA-RI-NH,-0.4067794875,-0.4033185143
chi,-1.178229526,-1.029233055,-0.8309056274,-0.7916301827,-0.7119092073,Chicago-Naperville_IL-IN-WI,-0.5611044999,-0.454358721
clv,-0.2613259297,-0.2255179028,-0.2090402118,-0.15602827,-0.1439413879,Cleveland-Akron-Canton_OH,-0.1077281545,-0.0911743727
dal,-0.1824164996,-0.1680157858,-0.1628715067,-0.09195795113,-0.1029079848,Dallas-FortWorth_TX-OK,-0.1029048657,-0.1007542151
dtr,-0.2441013229,-0.2284801896,-0.2152574389,-0.1146158995,-0.1412285521,Detroit-Warren-AnnArbor_MI,-0.1404764,-0.1266587034
hou,-0.2320498809,-0.215691492,-0.1837403131,-0.05377076761,-0.08748990921,Houston-Pasadena_TX,-0.0858027413,-0.116034208
la,-0.2841301637,-0.2354514173,-0.1998941005,-0.1091285366,-0.1039091691,LosAngeles-LongBeach_CA,-0.0426802769,-0.0401018292
ny,-3.150904469,-2.651911073,-1.349711115,-1.174807297,-0.9702898175,NewYork-Newark_NY-NJ-CT-PA,-0.659652722,-0.54444856
orl,-0.09248163566,-0.1038423289,-0.0996891811,-0.03420119031,-0.05380232127,Orlando-Lakeland-Deltona_FL,-0.0443353542,-0.0617277373
phi,-0.7485851961,-0.643841574,-0.3277763373,-0.3345096763,-0.402975309,Philadelphia-Reading-Camden_PA-NJ-DE-MD,-0.3366133202,-0.2814989446
pnx,-0.2149680957,-0.2121607708,-0.1928967681,-0.1558627988,-0.1539664868,Phoenix-Mesa_AZ,-0.1498858808,-0.1445769329
sac,-0.1560997901,-0.1338697949,-0.1165141543,-0.06434004325,-0.08826030354,Sacramento-Roseville_CA,-0.0760625504,-0.0742130936
sf,-1.007651969,-0.8385725792,-0.690943532,-0.5835130572,-0.5716979369,SanJose-SanFrancisco-Oakland_CA,-0.44448639,-0.3207651357
stl,-0.2358179116,-0.2264222196,-0.2376031862,-0.1808309087,-0.1926701715,StLouis-StCharles-Farmington_MO-IL,-0.1850695537,-0.1948053356
