city,fa19,sp21,fa21,fa22,sp23,fa23,sp24,fa24
atl,1.942403981,2.637979264,2.778262311,2.425765015,2.561362244,2.792407395,2.972974829,2.967011968
bos,2.195896072,2.805769277,2.496885066,2.041828319,2.349330768,2.505327446,2.628938619,2.691758522
chi,1.995086114,2.411802047,2.635387083,2.154988571,2.203962224,2.378593873,2.648563273,2.680317383
clv,2.440343233,2.736570625,2.954105797,2.595297909,2.667585542,2.810036616,3.01199332,2.9910068
dal,2.343255182,2.595002089,2.844316832,2.575264334,2.539076675,2.671451715,2.864855076,2.823001432
dtr,2.536259439,2.533380825,2.86750226,2.784712976,2.80652101,2.925821944,3.02366664,2.926309926
hou,2.192006914,2.5477468,2.820953361,2.499206443,2.451481118,2.600644114,2.802296284,2.737056028
la,2.217134411,2.441993889,2.603699703,2.514051984,2.64323812,2.673562014,2.885110946,2.811782954
ny,1.444644594,2.163456795,2.006572506,1.589560524,1.658444273,1.755893999,2.074775088,2.086424107
orl,2.309190503,2.731320641,2.879575479,2.509384208,2.480002745,2.717143552,2.941254683,2.940497332
phi,1.90030142,2.832894774,2.550356385,2.056205464,2.14525834,2.286870565,2.572268939,2.642407214
pnx,2.288795922,2.526342331,2.717354815,2.643486332,2.545992406,2.664749251,2.866429809,2.846113207
sac,2.221999961,2.607013365,2.568644017,2.345566824,2.621397468,2.596705452,2.77047977,2.65820966
sf,2.019064671,2.247276915,2.291151973,2.089823996,2.429361827,2.449320116,2.644210467,2.596872649
stl,2.327892051,2.591802087,2.710887212,2.587154151,2.616895417,2.775811684,2.912901717,2.862039875
