city,sp21,fa21,fa22,sp23,fa23,sp24,fa24
atl,0.695575283,0.83585833,0.483361034,0.618958263,0.850003414,1.030570848,1.024607987
bos,0.609873205,0.300988994,-0.154067753,0.153434696,0.309431374,0.433042547,0.49586245
chi,0.416715933,0.640300969,0.159902457,0.20887611,0.383507759,0.653477159,0.685231269
clv,0.296227392,0.513762564,0.154954676,0.227242309,0.369693383,0.571650087,0.550663567
dal,0.251746907,0.50106165,0.232009152,0.195821493,0.328196533,0.521599894,0.47974625
dtr,-0.002878614,0.331242821,0.248453537,0.270261571,0.389562505,0.487407201,0.390050487
hou,0.355739886,0.628946447,0.307199529,0.259474204,0.4086372,0.61028937,0.545049114
la,0.224859478,0.386565292,0.296917573,0.426103709,0.456427603,0.667976535,0.594648543
ny,0.718812201,0.561927912,0.14491593,0.213799679,0.311249405,0.630130494,0.641779513
orl,0.422130138,0.570384976,0.200193705,0.170812242,0.407953049,0.63206418,0.631306829
phi,0.932593354,0.650054965,0.155904044,0.24495692,0.386569145,0.671967519,0.742105794
pnx,0.237546409,0.428558893,0.35469041,0.257196484,0.375953329,0.577633887,0.557317285
sac,0.385013404,0.346644056,0.123566863,0.399397507,0.374705491,0.548479809,0.436209699
sf,0.228212244,0.272087302,0.070759325,0.410297156,0.430255445,0.625145796,0.577807978
stl,0.263910036,0.382995161,0.2592621,0.289003366,0.447919633,0.585009666,0.534147824
