city,fa19,sp21,fa21,fa22,sp23,fa23,sp24,fa24,city_title,full_name
atl,19.29020336,28.09485981,25.77863312,23.37587622,25.05423248,28.05174688,28.81732507,29.04807688,Atlanta,Atlanta--Athens-ClarkeCounty--SandySprings_GA-AL
bos,21.96843729,22.87269639,20.42217789,18.67022188,20.19622971,22.25333917,22.07999988,22.64442962,Boston,Boston-Worcester-Providence_MA-RI-NH
chi,17.00015893,20.50696018,19.97397275,17.03189631,16.82561707,19.50302624,20.72195762,21.3704312,Chicago,Chicago-Naperville_IL-IN-WI
clv,21.9049034,25.28567649,24.16271611,22.34867143,22.0341024,23.84784639,24.52653333,24.23332325,Cleveland,Cleveland-Akron-Canton_OH
dal,23.02979725,25.81084228,24.20120448,23.05805559,23.00819642,24.73146774,25.43582063,25.7230651,Dallas,Dallas-FortWorth_TX-OK
dtr,23.32360066,23.05268291,24.53869297,24.64905713,24.20445283,26.08010829,25.95233369,25.06480445,Detroit,Detroit-Warren-AnnArbor_MI
hou,21.49482397,25.34363407,24.33126626,22.25931941,22.06850686,24.21201846,25.09371143,25.004581,Houston,Houston-Pasadena_TX
la,18.94756747,19.90051195,18.88966736,19.07187051,20.91470368,22.00279117,22.82599348,22.38057191,Los Angeles,LosAngeles-LongBeach_CA
ny,12.79318931,15.77029606,14.34844269,12.70663959,12.56352046,13.62511068,15.77697765,16.07628354,New York,NewYork-Newark_NY-NJ-CT-PA
orl,21.81786184,26.2916539,23.99676769,21.00990955,22.21372706,25.08701175,25.9012892,26.00382703,Orlando,Orlando-Lakeland-Deltona_FL
phi,16.84048443,23.59482734,19.20566132,16.38547259,15.97706976,17.7242058,19.61884227,20.47634561,Philadelphia,Philadelphia-Reading-Camden_PA-NJ-DE-MD
pnx,21.52512524,23.03645573,21.7078924,22.3062705,21.84679878,24.03400875,24.70108679,24.5883967,Phoenix,Phoenix-Mesa_AZ
sac,19.5542761,22.97113072,19.01230842,18.34590807,21.00920341,21.34198829,21.76312217,20.14831086,Sacramento,Sacramento-Roseville_CA
sf,17.64173461,18.57714552,16.89350791,16.63856748,19.13340328,20.30442425,20.81715063,20.16911443,San Jose,SanJose-SanFrancisco-Oakland_CA
stl,21.45875887,18.9082601,21.12825067,22.53896924,22.315993,24.54842484,24.26743073,24.08441146,St. Louis,StLouis-StCharles-Farmington_MO-IL
